,Date,^GSPC,000001.SS,^FTSE,^GDAXI,^HSI,^TWII,^MERV,^ISEQ,^STI,^GSPTSE,^BSESN,^FCHI,^AEX,^KS11,^BVSP,^IBEX,BSX,0322.HK,^JKSE,^SET.BK,^AXJO,^BFX,^SSMI,^OMXSBCAPPI,^N225,IMOEX.ME,^ATX,^OMXHBCAPPI,^OSEAX,^N100,^BIT40P,JSE.JO
926,2020-08-29,3508.010009765625,3403.806884765625,5963.60009765625,13033.2001953125,25422.060546875,12728.849609375,46396.578125,6505.009765625,2539.6298828125,16705.80078125,39467.30859375,5002.93994140625,556.7999877929688,2353.800048828125,102143.0,7133.0,41.029998779296875,14.161835670471191,5346.6591796875,1323.31005859375,6073.7998046875,3378.60009765625,10164.490234375,693.7999877929688,22882.650390625,2980.169921875,2253.260009765625,190.16000366210938,940.8599853515625,991.5399780273438,1973.4693603515625,11221.5146484375
927,2020-08-30,3508.010009765625,3403.806884765625,5963.60009765625,13033.2001953125,25422.060546875,12728.849609375,46396.578125,6505.009765625,2539.6298828125,16705.80078125,39467.30859375,5002.93994140625,556.7999877929688,2353.800048828125,102143.0,7133.0,41.029998779296875,14.161835670471191,5346.6591796875,1323.31005859375,6073.7998046875,3378.60009765625,10164.490234375,693.7999877929688,22882.650390625,2980.169921875,2253.260009765625,190.16000366210938,940.8599853515625,991.5399780273438,1973.4693603515625,11221.5146484375
369,2020-08-31,3500.31005859375,3395.677978515625,5963.60009765625,12945.3798828125,25177.05078125,12591.4501953125,46835.421875,6434.43994140625,2532.510009765625,16514.400390625,38628.2890625,4947.22021484375,549.2000122070312,2326.169921875,99369.0,6969.5,41.02000045776367,13.655385971069336,5238.48681640625,1310.6600341796875,6060.5,3332.530029296875,10135.5595703125,690.6599731445312,23139.759765625,2966.199951171875,2217.050048828125,189.25999450683594,937.0,979.969970703125,1951.5643310546875,11036.3359375
370,2020-09-01,3526.64990234375,3410.60693359375,5862.10009765625,12974.25,25184.849609375,12703.2802734375,46545.51953125,6402.39013671875,2538.550048828125,16645.0,38900.80078125,4938.10009765625,552.219970703125,2349.550048828125,102168.0,6956.89990234375,41.470001220703125,13.580355644226074,5310.67919921875,1305.5699462890625,5953.39990234375,3314.22998046875,10188.849609375,692.780029296875,23138.0703125,2975.0,2219.47998046875,188.82000732421875,936.6199951171875,981.280029296875,1946.5174560546875,11082.86328125
371,2020-09-02,3580.840087890625,3404.802001953125,5941.0,13243.4296875,25120.08984375,12699.5,44877.5,6375.240234375,2539.93994140625,16698.0,39086.03125,5031.740234375,561.27001953125,2364.3701171875,101911.0,6996.89990234375,42.22999954223633,14.161835670471191,5311.97021484375,1315.8800048828125,6063.2001953125,3358.679931640625,10384.83984375,698.469970703125,23247.150390625,2956.5,2216.090087890625,189.97999572753906,932.72998046875,997.4199829101562,1964.5906982421875,11073.556640625
372,2020-09-03,3455.06005859375,3384.98095703125,5850.89990234375,13057.76953125,25007.599609375,12757.9697265625,44800.05859375,6294.7099609375,2531.7900390625,16448.900390625,38990.94140625,5009.52001953125,549.5999755859375,2395.89990234375,100721.0,7006.0,41.4900016784668,13.786686897277832,5280.81298828125,1311.949951171875,6112.60009765625,3327.18994140625,10220.6396484375,689.5499877929688,23465.529296875,2931.919921875,2215.169921875,187.25999450683594,928.8699951171875,986.760009765625,1945.40185546875,10892.099609375
373,2020-09-04,3426.9599609375,3355.366943359375,5799.10009765625,12842.66015625,24695.44921875,12637.9501953125,45075.05859375,6292.39013671875,2509.639892578125,16218.0,38357.1796875,4965.06982421875,540.27001953125,2368.25,101242.0,6989.7001953125,41.47999954223633,14.161835670471191,5239.85107421875,1311.949951171875,5925.5,3310.68994140625,10153.08984375,687.3200073242188,23205.4296875,2921.550048828125,2217.2900390625,186.5500030517578,920.969970703125,974.02001953125,1926.6348876953125,10794.3916015625
928,2020-09-05,3426.9599609375,3355.366943359375,5799.10009765625,12842.66015625,24695.44921875,12637.9501953125,45075.05859375,6292.39013671875,2509.639892578125,16218.0,38357.1796875,4965.06982421875,540.27001953125,2368.25,101242.0,6989.7001953125,41.47999954223633,14.161835670471191,5239.85107421875,1311.949951171875,5925.5,3310.68994140625,10153.08984375,687.3200073242188,23205.4296875,2921.550048828125,2217.2900390625,186.5500030517578,920.969970703125,974.02001953125,1926.6348876953125,10794.3916015625
929,2020-09-06,3426.9599609375,3355.366943359375,5799.10009765625,12842.66015625,24695.44921875,12637.9501953125,45075.05859375,6292.39013671875,2509.639892578125,16218.0,38357.1796875,4965.06982421875,540.27001953125,2368.25,101242.0,6989.7001953125,41.47999954223633,14.161835670471191,5239.85107421875,1311.949951171875,5925.5,3310.68994140625,10153.08984375,687.3200073242188,23205.4296875,2921.550048828125,2217.2900390625,186.5500030517578,920.969970703125,974.02001953125,1926.6348876953125,10794.3916015625
374,2020-09-07,3426.9599609375,3292.591064453125,5937.39990234375,13100.2802734375,24589.650390625,12601.400390625,45691.0390625,6313.43994140625,2511.2099609375,16218.0,38417.23046875,5053.72021484375,547.1400146484375,2384.219970703125,101242.0,7080.7001953125,41.47999954223633,14.068048477172852,5230.19580078125,1311.949951171875,5944.7998046875,3359.3798828125,10297.7998046875,702.3800048828125,23089.94921875,2932.2900390625,2251.659912109375,188.72999572753906,930.0700073242188,988.8900146484375,1959.4422607421875,10816.7255859375
